"id","name","description","module","action","createdAt","subcategoryId","key"
"cm6vx9jvs0000tla4r1awtxeb","Create User/Employee","This permission will allow you to hire employee.","user","create","2025-03-04 12:34:16.256","cm9dozplf0002tl5oncrfrn7g","create_user"
"cm6vyhhjq0004tla4kc2g2ork","Manage User Roles","This permission will allow to manage existing user's roles.","user","manage_roles","2025-03-04 12:34:16.256","cm9du13630002tlfkmjn5a2j4","manage_role"
"cm6vyi8o30005tla4762qrdoe","View Subordinates","This permission allows viewing subordinates in the organization.","user","view_subordinates","2025-03-04 12:34:16.256",,
"cm6vz3nju000btla4oq7zmbkz","Create Leave Types","This permission will give access to create leave type.","Leave","Create","2025-03-04 12:34:16.256","cm9e4xqoo0002tl5kf0gqmc3c","leave_type_create"
"cm6vz3nlv000ctla4t1xuq7z8","Read Leave Types","This permission wil give access to read leave type.","Leave","Read","2025-03-04 12:34:16.256","cm9e57bc10004tl5ky2h31nq0","read_leave_type"
"cm6vz3no4000dtla40hisib9a","Update Leave Types","This permission will give access to update leave type.","Leave","Update","2025-03-04 12:34:16.256","cm9e4xqoo0002tl5kf0gqmc3c","update_leave_types"
"cm6vz3nqq000etla4sjjwgy04","Delete Leave Types","This permission will give access to delete leave type.","Leave","Delete","2025-03-04 12:34:16.256","cm9e4xqoo0002tl5kf0gqmc3c","delete_leave_type"
"cm6vz3nsq000ftla4p83v5wea","Request Leave","This permission will give access to leave request.","Leave","Create","2025-03-04 12:34:16.256","cm9e57bc10004tl5ky2h31nq0","leave_request"
"cm6vz3nur000gtla4rs6ckecf","Approve Leave","This permission will give access to approve leave request.","Leave","Create","2025-03-04 12:34:16.256","cm9e4xqoo0002tl5kf0gqmc3c","approve_leave"
"cm6vz3nwv000htla4t8fd22w7","Reject Leave","This permission will give access to approve other's leave request.","Leave","Reject","2025-03-04 12:34:16.256","cm9e4xqoo0002tl5kf0gqmc3c","reject_leave"
"cm6vz3nzz000itla4a1gfg9qd","View Subordinates leave","This permission will give access to view leaves of your team.","Leave","View","2025-03-04 12:34:16.256","cm9e4xqoo0002tl5kf0gqmc3c","view_subordinates_leave"
